Titel	Manusforfatter	Instruktør	Producent	Manus 2015	Udvikling 2015	Produktion 2015	I alt - alle år	
ALBERT OG JULEMANDEN	Philip Lazebnik	Christian Dyekjær	Deluca Film - LN1 ApS	0	200.000	0	200	
ALDRIG MERE I MORGEN	Mette Heno, Erik Clausen	Erik Clausen	Clausen Film ApS	0	200.000	0	200.000	
ALLE FOR TRE	Rasmus Heide, Mick Øgendahl, Jacob Tingleff	Rasmus Heide	Fridthjof Film A/S	0	0	6.500.000 samt fra den regionale pulje 2.000.000	8.700.000	
ANTBOY 3	Anders Ølholm	Ask Hasselbalch	Nimbus Film	0	0	6.500.000 samt fra den regionale pulje 550.000	7.329.787	
DER KOMMER EN DAG	Søren Sveistrup	Jesper W. Nielsen	Zentropa Entertainment11 ApS	0	0	1.000.000 fra den regionale pulje	7.990.000	
DRÆBERNE FRA HAMMEL	Ole Bornedal	Ole Bornedal	Miso Film ApS	0	300.000	7.000.000	7.375.000	
EN TO TRE NU	Torvald Lervad	Barbara Rothenborg	Regner Grasten Filmproduktion A/S	0	350.000	6.600.000	7.740.000	
FAMILIEN JUL - I NISSERNES LAND	Carsten Rudolf	Carsten Rudolf	Pixi Film ApS	0	495.444	6.500.000	6.995.444	
FUGLENE OVER SUNDET	Nicolo Donato, Per Daumiller	Nicolo Donato	SF Film Production ApS	0	245.000	6.800.000 samt fra den regionale pulje 616.794	7.661.794	
HODJA FRA PJORT	Karsten Kiilerich	Karsten Kiilerich	M&M Productions A/S	0	150.000	0	450.000	
IQBAL FAROOQ OG DEN INDISKE SUPERCHIP	Renée Toft Simonsen	Oliver Zahle	Miso Film ApS	0	175.000	0	175.000	
JOHN	Ole Bornedal	Ole Bornedal	Miso Film ApS	0	150.000	0	350.000	
KALD DET KÆRLIGHED	René Frelle Petersen	René Frelle Petersen	Zentropa Entertainments11 ApS	0	150.000	0	150.000	
MIN SØSTERS BØRN I KINA	Ole Meldgård	Peter Gornstein	Obel Film A/S	0	0	7.500.000	7.500.000	
MIN SØSTERS BØRN OG ROBOTTEN	Ole Meldgård	Peter Gornstein	Obel Film A/S	0	300.000	6.800.000	7.100.000	
SLANGENS GAVE	Philip Lazebnik	Kasper Gaardsøe	Nepenthe Film ApS	0	300.000	0	300.000	
UDENFOR BORGEN	Torvald Lervad	Anne Grethe Bjarup Riis	Regner Grasten Filmproduktion A/S	0	150.000	0	150.000	
VILDHEKS	Bo hr. Hansen	Kaspar Munk	Good Company Films ApS	0	300.000	0	300.000	
