Titel	Manusforfatter	Instruktør	Producent	Konsulent	Manus 2017	Udvikling 2017	Produktion 2017	I alt - alle år	
6 DAGE I ENSOMHEDENS TJENESTE	Jon Bang Carlsen, Tine Byrckel	Jon Bang Carlsen	Snowglobe ApS	MMF	110.000	0	0	210.000	
14 DAGE, 300 KILOMETER	Kim Fupz Aakeson	Birgitte Stærmose	Zentropa Entertainments3 ApS	MMF	120.000	0	0	120.000	
1000 R.I.P	Daniel Dencik, Sara Isabella Jønsson	Daniel Dencik	Haslund/Dencik Entertainment ApS	MOG	53.000	0	0	1.015.000	
ACTS OF LOVE	Andreas Garfield	Jeppe Rønde	Meta Film ApS	MMF	0	450.000	0	650.000	
AMERIKA	Anders Thomas Jensen, Kristian Levring	Kristian Levring	Zentropa Entertainments3 ApS	MOG	100.000	300.000	7.800.000	8.500.000	
ASSISI	Jonas Wagner	Isabella Eklöf		MMF	70.000	0	0	170.000	
AXGIL	Jenny Lund Madsen	Roni Ezra	SF Studios Production ApS	MOG	80.000	0	0	80.000	
BAD DESIRE	Sissel Dalsgaard Thomsen	Jens Dahl	Beo Starling	MMF	0	276.241	0	356.241	
BOMBEMANDEN	Andreas Garfield	Mads Kamp Thulstrup	Profile Pictures ApS	MOG	220.000	0	0	320.000	
BORGERKRIGEN	Jannik Tai Mosholt	Janus Metz	Meta Film Rights ApS	MMF	120.000	0	0	410.000	
BREEDER	Sissel Dalsgaard Thomsen	Jens Dahl	Beo Starling	MMF	0	242.500	0	598.741	
CRASHER	Iben Gylling, Laurits Munch-Petersen	Laurits Munch-Petersen	Snowglobe ApS	MOG	100.000	0	0	200.000	
DE FRIVILLIGE	Lars Husum	Frederikke Aspöck	SF Studios Production ApS	MMF	0	100.000	6.500.000 samt fra den regionale pulje 500.000	7.440.000	
UDEN TITEL - TBA	Christian Lollike, Simon Staho	Simon Staho	Masterplan Pictures ApS	MMF	0	0	3.700.000	4.220.000	
DER VAR ENGANG I NORDJYLLAND	Mads Erichsen	Mads Erichsen	Toolbox Film ApS	MMF	70.000	0	0	70.000	
DITTE OG LOUISE - PÅ FILM	Ditte Hansen, Louise Mieritz	Niclas Bendixen	Nordisk Film Production A/S	MMF	0	0	6.700.000	6.900.000	
DOWN ORACLE	Rasmus Birch	Martin de Thurah	Jesper Morthorst	MMF	120.000	480.000	0	770.461	
DRONNINGEN	Maren Louise Käehne, May el-Toukhy	May el-Toukhy	Nordisk Film Production A/S	MOG	300.000	420.000	7.900.000	8.720.000	
ET BEDRE LIV	Jesper Fink, Michael Noer	Michael Noer	Nordisk Film Production A/S	MMF	0	0	8.500.000 samt fra den regionale pulje 500.000	9.496.546	
FALLING FOR FLORENCE	Lone Scherfig og Ulrik Trojaborg	Lone Scherfig	Creative Alliance A.M.B.A	MMF	0	250.000	0	450.000	
FAR HAR DET DÅRLIGT	Thomas Daneskov	Thomas Daneskov	Nordisk Film Production A/S	MMF	0	120.000	0	320.000	
GURU	Sanne Munk Jensen	Martin Werner	Bacon Group A/S	MMF	35.000	0	0	35.000	
GÆLDEN	Nagieb Khaja, Omar Shargawi	Nagieb Khaja, Omar Shargawi	Toolbox Film ApS	MOG	0	145.000	0	225.000	
HJEMMEFRONT	Jesper Christensen, Lena Maria Christensen	Jesper Christensen	Creative Alliance A.M.B.A	MOG	80.000	0	0	80.000	
IDA LÆNGE LEVE	Christoffer Örnfelt, Joachim Nielsen	Tilde Harkamp	Nepenthe Film ApS	MOG	80.000	0	0	80.000	
I GOD TRO	Anders Thomas Jensen, Michael Asmussen	Michael Asmussen	Meta Film Rights ApS	MOG	100.000	0	0	180.000	
I KRIG OG KÆRLIGHED	Astrid Ströher, Steen Bille	Kasper Torsting	Fridthjof Film A/S	MMF	110.000	0	0	110.000	
JEG ER SPION FOR EN FREMMED MAGT	Trine Piil		Profile Pictures ApS	MOG	100.000	0	0	100.000	
JEG TAGER PÅ FERIE MED FOLK	Morten Jørgensen		Dharma Film	MMF	110.000	0	0	110.000	
JUVENILE	Mads Matthiesen	Mads Matthiesen	Zentropa Entertainments3 ApS	MOG	100.000	0	0	200.000	
KODENAVN THORA	Martin Miehe-Renard, Preben Østerfelt	Martin Miehe-Renard	Fridthjof Film A/S	MOG	100.000	0	0	100.000	
LANDET PÅ DEN ANDEN SIDE AF ENSOMHEDEN	Jon Bang Carlsen	Jon Bang Carlsen	Snowglobe ApS	MMF	0	300.000	0	510.000	
LANDSFORRÆDEREN	Christina Rosendahl, Kristian Bang Voss	Christina Rosendahl	Nimbus Film	MMF	120.000	0	0	260.000	
LILLE SOMMERFUGL	Søren Kragh-Jacobsen	Søren Kragh-Jacobsen	SKJ Film Produktion	MMF	60.000	0	0	60.000	
LØFTET	Peter Anthony	Peter Anthony	Nepenthe Film ApS	MOG	100.000	0	0	100.000	
MISS OSAKA	Daniel Dencik, Sara Isabella Jønsson	Daniel Dencik	Haslund / Dencik Entertainment ApS	MOG	160.000	255.000	0	1.430.000	
MISS VIBORG	Lærke Sanderhoff	Marianne Blicher	Snowglobe ApS	MOG	80.000	0	0	80.000	
MUNK	Nicolo Donato, Per Daumiller	Nicolo Donato	SF Studios Production ApS	MMF	60.000	0	0	60.000	
NATURIST	Mads Rosenkrantz Grage	Magnus Millang	Zentropa Entertainments3 ApS	MMF	100.000	0	0	100.000	
NINNA	Susanne Juhasz	Hans Fabian Wullenweber	Milk & Honey	MMF	0	292.304	0	292.304	
NOTAT OM FIRE MÆND	Lars K. Andersen	Ole Christian Madsen	Creative Alliance A.M.B.A	MOG	200.000	415.000	0	780.000	
ORTHONS HELTE	Rasmus Horskjær	Ask Hasselbalch	Snowglobe ApS	MMF	120.000	0	0	180.000	
POSITIV	Frederikke Aspöck	Frederikke Aspöck		MOG	80.000	0	0	80.000	
ROSE OG GYLDENSOL	Niels Arden Oplev	Niels Arden Oplev	Nordisk Film Production A/S	MOG	200.000	0	0	415.000	
SELVMORDSTURISTEN	Rasmus Birch	Jonas Alexander Arnby	Snowglobe ApS	MMF	0	480.000	0	870.000	
SHORTA	Anders Ølholm, Frederik Louis Hviid	Anders Ølholm, Frederik Louis Hviid	Toolbox Film ApS	MOG	200.000	430.000	0	790.000	
SJALÚ	Dagur Kári	Dagur Kári	Creative Alliance A.M.B.A	MOG	80.000	160.000	0	358.300	
SKILT	Christoffer Boe, Tobias Lindholm	Christoffer Boe	Zentropa Entertainments3 ApS	MOG	220.000	0	0	540.000	
SOLDIERS OF FORTUNE	Peter Birro	Per Fly	Creative Alliance A.M.B.A	MMF	110.000	0	0	110.000	
SORTE SOMMERFUGL	Bo hr. Hansen	Tilde Harkamp	Nimbus Film	MOG	100.000	0	0	100.000	
STORM	Sofie Stougaard, Torbjørn Rafn	Sofie Stougaard		MOG	100.000	0	0	100.000	
THE AVENGING SILENCE	Nicolas Winding Refn	Nicolas Winding Refn	Space Rocket Nation ApS	MOG	145.000	0	0	270.000	
THE END	Joshua Oppenheimer, Rasmus Heisterberg	Joshua Oppenheimer	Final Cut for Real ApS	MMF	120.000	500.000	0	945.000	
THE HOLY SPIDER	Ali Abassi	Ali Abassi	Profile Pictures ApS	MMF	100.000	0	0	160.000	
THE PROPHECY	Nagieb Khaja, Omar Shargawi	Nagieb Khaja, Omar Shargawi	Toolbox Film ApS	MOG	125.000	0	0	350.000	
TRANSDANT	Molly Malene Stensgaard	Louise N. D. Friedberg		MMF	110.000	0	0	110.000	
TØ	Torben Bech	Torben Bech	Wintertales IVS	MOG	100.000	0	0	100.000	
UAKO	Maren Louise Käehne	Annette K. Olesen	Profile Pictures ApS	MMF	0	350.000	0	350.000	
UBUDEN GÆST	Eske Hjort-Petersen, Jonas Thejsen	Eske Hjort-Petersen, Jonas Thejsen		MMF	60.000	0	0	60.000	
UNDER ISEN	Franz Ernst	Franz Ernst	Alice Film	MOG	100.000	0	0	200.000	
UNDTAGELSEN	Christian Torpe	Jesper W. Nielsen	Fridthjof Film A/S	MMF	110.000	300.000	8.000.000	8.760.000	
VIFTEN	Anna Neye	Frederikke Aspöck	Meta Film Rights ApS	MMF	0	225.000	0	440.000	
VILDNIS	Anna Ingeborg Topsøe	Jeanette Nordahl	Snowglobe ApS	MMF	90.000	475.000	0	645.000	
VI OVERLEVER DØDEN	Bo Mikkelsen	Bo Mikkelsen	Space Rocket Nation ApS	MOG	80.000	0	0	80.000	
VORES MAND I AMERIKA	Christina Rosendahl, Kristian Bang Voss	Christina Rosendahl	Nimbus Film	MMF	100.000	0	0	360.000	
WINGS OF RAMALLAH	Omar Shargawi	Omar Shargawi		MMF	110.000	0	0	110.000	
WONDERFUL COPENHAGEN	Carsten Rudolf	Carsten Rudolf	Pixy Film ApS	MOG	200.000	0	0	200.000	
WON'T YOU SEE ME, I'M JUST STILL RIGHT HERE	Daniel Joseph Borgman	Daniel Joseph Borgman	Adomeit Film ApS	MMF	150.000	0	0	150.000
